Applicant_ID,Applicant_Income,Coapplicant_Income,Employment_Status,Age,Marital_Status,Dependents,Credit_Score,Existing_Loans,DTI_Ratio,Savings,Collateral_Value,Loan_Amount,Loan_Term,Loan_Purpose,Property_Area,Education_Level,Gender,Employer_Category,Loan_Approved
1.0,17795.0,1387.0,Salaried,51.0,Married,0.0,637.0,4.0,0.53,19403.0,45638.0,16619.0,84.0,Personal,Urban,Not Graduate,Female,Private,No
2.0,2860.0,2679.0,Salaried,46.0,Married,3.0,621.0,2.0,0.3,2580.0,49272.0,38687.0,,Car,Semiurban,Graduate,,Private,No
3.0,7390.0,2106.0,Salaried,25.0,Single,2.0,674.0,4.0,0.2,13844.0,6908.0,27943.0,72.0,,Urban,,Female,Government,Yes
4.0,13964.0,8173.0,Salaried,40.0,Married,2.0,579.0,3.0,0.31,9553.0,10844.0,27819.0,60.0,Business,Rural,Graduate,Female,Government,No
5.0,13284.0,4223.0,Self-employed,31.0,Single,2.0,721.0,1.0,0.29,9386.0,37629.0,12741.0,72.0,Car,,Graduate,Male,Private,Yes
6.0,8265.0,4831.0,Salaried,53.0,Single,1.0,602.0,1.0,0.56,19522.0,2911.0,9798.0,36.0,Home,Semiurban,Graduate,Male,Unemployed,No
7.0,18850.0,2768.0,Salaried,58.0,Married,0.0,687.0,0.0,0.48,14635.0,8991.0,26143.0,24.0,Home,Rural,Graduate,Male,Private,No
8.0,6426.0,3186.0,Salaried,47.0,Married,2.0,636.0,4.0,,671.0,11572.0,33747.0,84.0,Personal,Rural,Graduate,Female,,No
9.0,16423.0,,Salaried,54.0,Married,1.0,729.0,0.0,0.59,777.0,43066.0,34651.0,36.0,Home,Semiurban,Graduate,Male,Private,No
10.0,13363.0,2599.0,Contract,35.0,Single,3.0,726.0,1.0,,3022.0,29693.0,22182.0,60.0,Personal,Rural,Graduate,Female,Government,Yes
11.0,18023.0,4033.0,Salaried,52.0,Married,2.0,688.0,1.0,0.13,18244.0,40004.0,10415.0,12.0,Education,Urban,Not Graduate,Female,MNC,Yes
12.0,10322.0,8428.0,Self-employed,41.0,,1.0,743.0,4.0,0.23,,38333.0,12085.0,84.0,Car,Semiurban,Graduate,Male,Government,Yes
13.0,3685.0,1304.0,Contract,25.0,Married,2.0,735.0,3.0,0.32,13817.0,17493.0,16008.0,36.0,Business,Rural,Graduate,Male,Private,No
14.0,2769.0,7368.0,Self-employed,26.0,Single,0.0,767.0,3.0,0.18,14260.0,39697.0,23102.0,72.0,Personal,Semiurban,Graduate,Male,Private,No
15.0,4433.0,5877.0,Contract,58.0,Single,0.0,713.0,4.0,0.57,1074.0,,19452.0,84.0,,Semiurban,,Male,MNC,No
16.0,7311.0,1301.0,Salaried,42.0,Married,3.0,710.0,4.0,0.48,9908.0,24561.0,9120.0,72.0,Personal,Urban,Not Graduate,Female,Private,
17.0,7051.0,2541.0,Unemployed,38.0,,2.0,724.0,0.0,0.23,9475.0,18033.0,8820.0,48.0,Personal,Urban,Graduate,Female,Private,Yes
18.0,8420.0,2051.0,Salaried,34.0,Married,1.0,562.0,4.0,0.4,12878.0,7351.0,19170.0,48.0,Home,Urban,Graduate,Male,Private,No
19.0,19568.0,6809.0,Salaried,30.0,Married,3.0,589.0,3.0,0.46,15120.0,25921.0,17259.0,48.0,Home,Rural,Not Graduate,Female,Private,No
20.0,8396.0,8633.0,,33.0,Single,2.0,638.0,,0.57,1986.0,19340.0,23099.0,84.0,Car,Urban,Graduate,Male,Private,No
21.0,10666.0,8996.0,Unemployed,51.0,Married,3.0,617.0,0.0,0.54,10825.0,14901.0,10649.0,12.0,Business,Rural,Graduate,Male,MNC,No
22.0,4747.0,74.0,Contract,50.0,Married,1.0,591.0,0.0,0.36,9193.0,,31255.0,60.0,Car,Urban,Graduate,Male,Business,No
23.0,2189.0,6981.0,Salaried,23.0,Married,3.0,696.0,0.0,0.49,17430.0,38596.0,12805.0,84.0,,Urban,Graduate,Male,Government,No
24.0,5005.0,5475.0,Salaried,50.0,Single,3.0,759.0,0.0,0.38,2176.0,21378.0,9744.0,24.0,Home,Urban,,Female,Private,Yes
,3899.0,8232.0,Unemployed,26.0,Single,3.0,778.0,,0.38,18722.0,44324.0,33305.0,72.0,Home,Urban,Graduate,Female,Government,No
26.0,3267.0,,Salaried,49.0,,2.0,643.0,4.0,0.16,10047.0,22820.0,26857.0,72.0,Business,Rural,,Male,Government,No
27.0,19912.0,5796.0,Contract,28.0,Single,1.0,568.0,1.0,0.16,16884.0,25060.0,11679.0,84.0,Personal,Urban,Graduate,Male,Government,
28.0,13394.0,7141.0,,53.0,Married,0.0,735.0,4.0,0.36,18617.0,32642.0,30829.0,84.0,Car,Urban,Not Graduate,Male,Private,Yes
29.0,5556.0,1622.0,Salaried,37.0,Married,,572.0,2.0,0.23,4608.0,25378.0,11985.0,60.0,Business,Urban,Not Graduate,Male,Unemployed,No
30.0,5890.0,8041.0,Salaried,31.0,Married,0.0,603.0,0.0,0.11,11906.0,8150.0,29287.0,12.0,Car,Rural,Not Graduate,Female,Government,No
31.0,10838.0,341.0,Salaried,33.0,Married,,757.0,2.0,0.46,7234.0,,13391.0,84.0,Personal,Semiurban,Graduate,Female,Unemployed,No
,16502.0,2074.0,Salaried,31.0,Married,2.0,614.0,3.0,0.12,6610.0,24059.0,5861.0,48.0,Car,Urban,Graduate,Female,,No
33.0,12627.0,,Contract,51.0,Single,2.0,689.0,3.0,0.4,10524.0,34525.0,35364.0,60.0,Education,Rural,Not Graduate,Male,Private,No
34.0,10792.0,645.0,Salaried,48.0,Married,1.0,573.0,4.0,0.37,16984.0,18193.0,17863.0,24.0,Business,Urban,Graduate,Male,,No
35.0,12555.0,4263.0,Contract,26.0,Married,1.0,583.0,4.0,0.58,13411.0,43967.0,32499.0,48.0,Home,Urban,Not Graduate,Male,MNC,No
36.0,12253.0,8801.0,Salaried,36.0,Married,3.0,602.0,1.0,0.34,9180.0,27801.0,28794.0,24.0,Car,Rural,Graduate,Male,Private,No
37.0,10433.0,6136.0,Unemployed,24.0,Married,0.0,798.0,1.0,0.13,15225.0,49063.0,8919.0,36.0,Business,Urban,Graduate,Male,MNC,Yes
38.0,12233.0,8646.0,Salaried,55.0,Single,1.0,685.0,3.0,0.38,10073.0,26246.0,21282.0,24.0,Business,Rural,Graduate,Male,MNC,Yes
39.0,13016.0,9900.0,Salaried,46.0,Married,3.0,567.0,0.0,0.52,4483.0,12807.0,,48.0,Car,,Not Graduate,Male,Business,No
,4612.0,2969.0,Salaried,32.0,Married,1.0,606.0,2.0,0.6,5901.0,17535.0,6624.0,36.0,Home,Semiurban,Not Graduate,Female,Business,No
41.0,17787.0,3028.0,Contract,31.0,Single,2.0,661.0,1.0,0.32,,5492.0,34706.0,48.0,Home,Urban,Graduate,Female,Business,Yes
42.0,19159.0,7643.0,Self-employed,57.0,Married,1.0,554.0,1.0,0.26,18138.0,31357.0,9176.0,72.0,Car,Rural,Graduate,Male,Business,No
43.0,14206.0,2681.0,Contract,45.0,Married,0.0,703.0,0.0,0.55,18848.0,6302.0,34529.0,48.0,Business,Semiurban,Not Graduate,Female,Private,No
44.0,,3629.0,Salaried,38.0,Married,1.0,707.0,0.0,0.2,10415.0,32314.0,13941.0,36.0,Home,Urban,Graduate,Male,Business,Yes
45.0,16541.0,4225.0,Salaried,39.0,Married,0.0,731.0,4.0,,4482.0,,2669.0,,Car,,Not Graduate,,MNC,No
46.0,5152.0,3067.0,Self-employed,43.0,Single,2.0,562.0,2.0,,9686.0,4747.0,21246.0,,Car,Urban,Graduate,Female,Private,No
47.0,3585.0,5941.0,Salaried,58.0,Single,0.0,632.0,,0.12,7400.0,47006.0,21323.0,12.0,Car,Rural,Graduate,Male,Unemployed,No
48.0,5943.0,1386.0,Salaried,38.0,Married,1.0,578.0,1.0,0.27,6806.0,41170.0,34894.0,12.0,Business,Urban,Graduate,Female,Private,No
49.0,3021.0,2866.0,Unemployed,46.0,Single,3.0,552.0,1.0,0.23,10516.0,10686.0,7021.0,12.0,Home,Urban,Graduate,Male,Private,No
50.0,13653.0,4788.0,Unemployed,26.0,Married,2.0,639.0,,0.44,7396.0,37449.0,37903.0,12.0,Business,Rural,Graduate,Male,Private,No
51.0,12805.0,5490.0,Unemployed,24.0,Married,1.0,653.0,0.0,0.57,7338.0,18891.0,9711.0,60.0,Education,Urban,Graduate,Male,Private,No
52.0,15417.0,4124.0,Contract,49.0,Married,2.0,672.0,4.0,0.23,9950.0,36196.0,8904.0,12.0,Home,Rural,Graduate,Female,MNC,Yes
53.0,9989.0,8340.0,Salaried,54.0,Married,2.0,735.0,2.0,0.51,12500.0,29928.0,36051.0,36.0,Business,Urban,Graduate,Female,Unemployed,No
54.0,11692.0,3850.0,Salaried,37.0,Married,1.0,799.0,4.0,,11545.0,7494.0,21942.0,84.0,Home,Urban,Graduate,Female,MNC,Yes
55.0,14990.0,5415.0,Self-employed,36.0,Single,1.0,625.0,1.0,0.37,5241.0,36723.0,25251.0,12.0,Education,Rural,Not Graduate,Female,Unemployed,No
56.0,,7679.0,Contract,22.0,Single,3.0,679.0,4.0,0.14,4695.0,29877.0,26058.0,48.0,Personal,Rural,Graduate,Male,Private,Yes
57.0,7675.0,6819.0,Salaried,54.0,Married,,752.0,1.0,0.57,11530.0,27981.0,36245.0,84.0,Car,Urban,Graduate,Male,Private,No
58.0,2161.0,9328.0,Salaried,,Married,2.0,657.0,1.0,0.48,14312.0,14026.0,4093.0,12.0,Business,Urban,Graduate,Female,Government,No
59.0,6297.0,8378.0,Salaried,33.0,Married,1.0,705.0,1.0,0.43,18972.0,20422.0,25918.0,84.0,Education,Urban,Graduate,Male,MNC,No
60.0,2995.0,9442.0,Self-employed,28.0,Married,0.0,631.0,1.0,0.51,14318.0,9244.0,8207.0,24.0,Education,Urban,Not Graduate,Female,Private,No
61.0,13534.0,1333.0,Contract,50.0,Married,1.0,,1.0,0.42,18166.0,33481.0,,,Home,Urban,Graduate,Male,Unemployed,No
62.0,9629.0,4150.0,Contract,52.0,Married,2.0,778.0,3.0,0.58,19904.0,23644.0,27974.0,36.0,Home,Urban,Not Graduate,Male,Business,No
63.0,3016.0,6766.0,Salaried,56.0,Single,1.0,763.0,4.0,0.46,11324.0,43848.0,29172.0,84.0,Car,Rural,Graduate,Male,,No
64.0,10529.0,2711.0,Unemployed,50.0,Married,3.0,753.0,3.0,0.56,3218.0,8521.0,33283.0,72.0,Home,Rural,,Female,Private,No
65.0,19262.0,4853.0,,21.0,Married,0.0,551.0,3.0,0.36,4016.0,1746.0,39995.0,60.0,Business,Urban,Graduate,Female,Government,No
66.0,11268.0,6212.0,Salaried,59.0,Married,1.0,676.0,0.0,0.16,2837.0,17591.0,14280.0,48.0,Business,,Not Graduate,Male,MNC,Yes
67.0,14185.0,7479.0,Salaried,37.0,Married,3.0,778.0,0.0,0.36,16312.0,26718.0,37303.0,,Business,Urban,Not Graduate,Male,MNC,Yes
68.0,8331.0,5408.0,Salaried,40.0,Married,2.0,684.0,0.0,0.16,7034.0,49936.0,28453.0,36.0,Personal,,Graduate,Male,Private,Yes
69.0,10571.0,9977.0,Salaried,44.0,Single,1.0,575.0,2.0,0.4,,2696.0,3913.0,24.0,Business,Semiurban,Not Graduate,Male,Unemployed,No
70.0,9208.0,7715.0,Unemployed,42.0,Married,2.0,767.0,,0.34,14379.0,12012.0,26765.0,12.0,Home,Rural,Graduate,Female,MNC,Yes
